gender,birth,marriage,religion,income,code_job,code_region
1,1995,5,2,9999,NA,1
1,1998,0,2,9999,NA,1
2,1980,1,2,9999,NA,1
1,1975,1,2,634.2,223,1
2,1974,1,2,400,252,1
2,2006,0,2,9999,NA,1
2,2008,0,2,9999,NA,1
2,2011,0,2,9999,NA,1
2,1957,3,1,106.5,421,1
2,1943,2,1,57,941,1
1,1973,5,1,268.8,521,1
1,1960,1,1,397.5,761,1
2,1966,1,1,625,510,1
2,1991,5,1,180,254,1
2,1992,1,1,9999,NA,1
2,1943,2,2,9999,NA,1
2,1924,2,2,9999,NA,1
2,1971,1,1,109.7,259,1
2,1998,0,1,9999,NA,1
2,1999,0,1,9999,NA,1
1,1968,1,2,220.3,771,1
1,1958,1,1,276.3,721,1
2,1958,1,1,123.2,930,1
1,1986,1,2,167.5,135,1
1,1984,5,1,231,245,1
2,1984,1,2,9999,NA,1
1,2013,0,2,9999,NA,1
1,1966,1,1,428.7,862,1
2,1968,1,1,60,399,1
1,2000,0,1,9999,NA,1
1,1974,1,2,247,773,1
2,1973,1,2,131.8,930,1
2,2003,0,2,9999,NA,1
1,2004,0,2,9999,NA,1
1,1959,1,1,9999,NA,1
2,1959,1,1,9999,NA,1
2,1984,5,1,9999,NA,1
1,1986,5,1,220,312,1
1,1960,1,2,9999,530,1
2,1960,1,1,120,521,1
1,1988,5,2,9999,NA,1
1,1985,5,2,393.3,221,1
2,1960,4,1,108,951,1
1,1987,5,1,9999,NA,1
2,1943,4,1,73,941,1
2,1971,5,2,234,422,1
1,1959,1,2,9999,873,1
2,1965,1,2,9999,930,1
1,1987,5,2,9999,NA,1
2,1988,5,2,9999,NA,1
1,1938,3,1,9999,941,1
2,1939,2,1,9999,NA,1
1,1964,5,1,205,751,1
1,1969,1,2,251,312,1
2,1977,1,2,140,314,1
2,1939,2,1,9999,NA,1
2,2006,0,2,9999,NA,1
1,2010,0,2,9999,NA,1
2,1971,1,2,275,312,2
1,1966,1,1,145.8,251,2
1,2011,0,2,9999,NA,2
1,1965,5,2,9999,NA,1
2,1958,3,1,190,521,1
1,1987,5,1,150,399,1
1,1938,2,2,9999,NA,1
2,1942,2,1,9999,NA,1
1,1925,1,2,9999,NA,1
2,1936,1,2,9999,NA,1
2,1953,2,1,9999,951,1
1,1978,1,1,408,753,1
1,1979,5,1,500,141,1
2,1979,1,1,9999,NA,1
1,2009,0,1,9999,NA,1
1,2011,0,1,9999,NA,1
2,1946,3,1,9999,NA,1
1,1957,5,2,52.8,941,1
2,1934,2,1,9999,NA,1
1,1972,1,2,238.3,722,1
2,1965,1,2,114.2,930,1
1,1999,0,2,9999,NA,1
2,1958,1,1,9999,422,1
2,1983,1,2,0,320,2
1,1984,1,2,266.7,761,2
1,1955,1,1,9999,773,1
1,1975,1,2,341.6,246,2
2,1984,1,2,9999,NA,2
1,2014,0,2,9999,NA,2
2,2013,0,2,9999,NA,2
1,1945,3,2,220.2,942,1
2,1982,5,1,194.3,289,1
2,1957,2,1,9999,951,1
2,1979,1,2,130,320,1
1,1975,1,2,416.6,231,1
1,2012,0,2,9999,NA,1
1,1932,1,1,9999,NA,1
2,1940,1,1,9999,NA,1
1,1959,1,1,9999,NA,1
2,1964,1,1,192,952,1
2,1989,5,1,583.3,254,1
2,1990,5,1,260,243,1
1,1952,3,1,9999,NA,1
1,1952,1,1,9999,NA,1
